entities,Intermediate,Negative,Positive,General Opinion
"Co-Founder, GamesBeat Summit Next, GBSummit",0.0,0.0,1.0,Positive
Coatsink,0.0,0.0,2.0,Positive
"Coatsink's Beardsmore, Headup, PlayStation",1.0,0.0,0.0,Intermediate
"Cobie Smulders, Olivia Colman",1.0,0.0,0.0,Intermediate
Coca-Cola's,2.0,0.0,0.0,Intermediate
Codemasters,3.0,0.0,1.0,Intermediate
Coffee Noir,0.0,0.0,1.0,Positive
"Coffee Talk, The New Eurogamer Podcast",1.0,0.0,0.0,Intermediate
Coin Master,0.0,0.0,1.0,Positive
Cole,3.0,1.0,0.0,Intermediate
"Cole, Cassidy",2.0,0.0,1.0,Intermediate
"Cole, GB Decides, @jeffgrubb",0.0,1.0,0.0,Negative
ColeCassidy,1.0,0.0,0.0,Intermediate
Collection,0.0,0.0,2.0,Positive
Collector,0.0,0.0,2.0,Positive
Collector's Edition,1.0,1.0,0.0,Intermediate
Collector’s Editions,0.0,2.0,0.0,Negative
Colony,0.0,0.0,1.0,Positive
Colorado Sheriff’s Department,0.0,0.0,1.0,Positive
"Colt, Deathloop",0.0,0.0,1.0,Positive
Combat Shotgun,0.0,0.0,1.0,Positive
"Combat Shotgun, the Combat Shotgun",0.0,0.0,1.0,Positive
"Combat Shotgun, the Combat Shotgun, https://t.co/Elyj9wOS8v",0.0,0.0,1.0,Positive
"Comcast, G modem",1.0,0.0,0.0,Intermediate
"Comcast, Xfinity Home",1.0,0.0,0.0,Intermediate
"Coming Home, Jackass Forever",0.0,1.0,0.0,Negative
"Communications/PR/Marketing, Register",0.0,0.0,1.0,Positive
Community,0.0,0.0,1.0,Positive
"Competition and Markets Authority, Nvidia",0.0,0.0,1.0,Positive
Conan Exiles,0.0,1.0,0.0,Negative
"Conan Exiles, Funcom",0.0,1.0,0.0,Negative
ConcernedApe,1.0,1.0,0.0,Intermediate
"ConcernedApe, HauntedChocolatier",3.0,0.0,0.0,Intermediate
Confederate,1.0,0.0,0.0,Intermediate
Congress,2.0,0.0,0.0,Intermediate
Conquest,0.0,0.0,1.0,Positive
Conroy,0.0,0.0,1.0,Positive
Console,1.0,0.0,0.0,Intermediate
"Constantine, https://t.co/bel4ecSy3b",0.0,1.0,0.0,Negative
Consumer Acquisition,0.0,0.0,1.0,Positive
Contraband - https://t.co/Tw3l78aaCN https://t.co/673dnkgUsf,0.0,1.0,0.0,Negative
Contrast,1.0,0.0,0.0,Intermediate
Control,4.0,0.0,3.0,Intermediate
"Control
",2.0,0.0,0.0,Intermediate
Control Ultimate Edition's,0.0,1.0,0.0,Negative
Control',1.0,0.0,0.0,Intermediate
Control's Oldest House,0.0,0.0,3.0,Positive
"Control, Tencent",1.0,0.0,0.0,Intermediate
"Cooler Master's, NR200P",0.0,0.0,1.0,Positive
Core,2.0,0.0,1.0,Intermediate
Core Concepts,0.0,0.0,1.0,Positive
"Corporate Slave, Microsoft",0.0,1.0,0.0,Negative
Corporate Social Responsibility,0.0,0.0,1.0,Positive
CorpseParty,1.0,0.0,0.0,Intermediate
Corsair,3.0,0.0,0.0,Intermediate
"Corsair, Virtuoso RGB Wireless XT",0.0,0.0,1.0,Positive
"Coruscant, Lucasfilm Story Group, Pablo Hidalgo, Bad Robot",0.0,1.0,0.0,Negative
Cotton Guardian Force Limited Edition,0.0,1.0,0.0,Negative
CottonReboot,1.0,0.0,0.0,Intermediate
Counter-Strike's Blast,0.0,1.0,0.0,Negative
Court,0.0,0.0,1.0,Positive
"Court of Owls, FanDome",1.0,0.0,0.0,Intermediate
Cowboy,0.0,0.0,1.0,Positive
"Cowboy Bebop, Tokyo Godfathers",2.0,0.0,0.0,Intermediate
Cowboy Bebop’s,1.0,0.0,0.0,Intermediate
Cox Enterprises,1.0,0.0,0.0,Intermediate
Cox Enterprises https://t.co/j4EQpLZKfe,1.0,0.0,0.0,Intermediate
"Craftopia, Xbox Game Pass - https://t.co/B0ZKhQSNPF",1.0,0.0,0.0,Intermediate
Crash,0.0,0.0,1.0,Positive
"Crash, Disney Plus",1.0,0.0,0.0,Intermediate
Creations,0.0,0.0,1.0,Positive
Creative Assembly,0.0,0.0,2.0,Positive
Credit Cards,0.0,0.0,1.0,Positive
Crime and Opportunity,0.0,1.0,0.0,Negative
"Crimson Clover, Castle of Shikigami 2",1.0,0.0,0.0,Intermediate
Crimzon Clover World EXplosion,1.0,0.0,0.0,Intermediate
Criterion,0.0,0.0,1.0,Positive
"Critical Consensus

Technical",0.0,1.0,0.0,Negative
Critical Role,0.0,2.0,0.0,Negative
Critical Role Campaign 3,0.0,1.0,0.0,Negative
Critical Role's,0.0,1.0,0.0,Negative
"Critical Role, Amazon",0.0,1.0,0.0,Negative
"Critical Role, Kin, https://t.co/TcQJMsTQiz",0.0,1.0,0.0,Negative
"Critical Role, Kith &amp",0.0,0.0,1.0,Positive
Critical Role’s,0.0,0.0,1.0,Positive
"Cronos, Nightmare Alley, Hellboy, Pan's Labyrinth, Guillermo del Toro",0.0,0.0,1.0,Positive
Cross-Play (Sponsored) https://t.co/4cagO7nFZS https://t.co/cycVUxZZhw,0.0,0.0,1.0,Positive
"CrossfireLegion, RTS",1.0,0.0,0.0,Intermediate
Crucial,0.0,1.0,2.0,Positive
"Crucial, Western Digital",0.0,0.0,1.0,Positive
"Crucial, X8, SSD, Amazon",0.0,0.0,1.0,Positive
Cruella,0.0,2.0,0.0,Negative
Cruelty Squad,0.0,1.0,0.0,Negative
Cruis'n Blast,0.0,0.0,1.0,Positive
Crunchyroll,3.0,1.0,0.0,Intermediate
"Crunchyroll, Mugen Train",1.0,0.0,0.0,Intermediate
Crusader Kings,5.0,1.0,0.0,Intermediate
"Crusader Kings 3, Mount &",0.0,1.0,0.0,Negative
Crusader Kings II,0.0,0.0,1.0,Positive
"Crusader Kings, Royal Court, Royal Court",0.0,0.0,1.0,Positive
"Crusader Kings, https://t.co/MHjZEoEwJU",1.0,0.0,0.0,Intermediate
"Crusaders Kings, PlayStation",1.0,0.0,0.0,Intermediate
"Crusaders Kings, PlayStation, Xbox",1.0,0.0,0.0,Intermediate
Cryo,1.0,0.0,0.0,Intermediate
Cryptofarm,1.0,0.0,0.0,Intermediate
Crystal Dynamics,0.0,1.0,2.0,Positive
"Crystal Dynamics, Marvel's, https://t.co/oqKzYvuQDG",0.0,0.0,1.0,Positive
"Crystal Dynamics, Marvel’s Avengers’ PlayStation",0.0,0.0,1.0,Positive
"Crystal Dynamics, Spider-Man",0.0,0.0,1.0,Positive
"Crystal Dynamics, XP, Marvel's Avengers",0.0,0.0,1.0,Positive
"Crystal Dynamics, XP, Marvel’s Avengers",0.0,0.0,1.0,Positive
"Crystal Dynamics, Xbox",0.0,0.0,1.0,Positive
Crytek,7.0,1.0,0.0,Intermediate
"Crytek, Crysis 4",1.0,0.0,0.0,Intermediate
"Crytek, Patreon",1.0,0.0,0.0,Intermediate
"Crytek, https://t.co/JFAa1XnUav",0.0,1.0,0.0,Negative
Cuphead,1.0,0.0,0.0,Intermediate
CursedtoGolf,1.0,0.0,0.0,Intermediate
Curve Digital,1.0,1.0,0.0,Intermediate
Cut,0.0,0.0,1.0,Positive
Cute #Sonic,0.0,0.0,1.0,Positive
"CyBall, NFT",1.0,0.0,0.0,Intermediate
Cyber,2.0,0.0,0.0,Intermediate
Cyber Monday,0.0,0.0,1.0,Positive
Cyber Showdown,1.0,0.0,0.0,Intermediate
"Cyber, Cyber Week",1.0,0.0,0.0,Intermediate
"Cyber, Digital Foundry's",0.0,0.0,1.0,Positive
Cyber-Akuma,1.0,0.0,0.0,Intermediate
CyberConnect2,1.0,0.0,0.0,Intermediate
Cybercrimes RPG Gamedec,1.0,0.0,0.0,Intermediate
Cyberpunk2077,1.0,0.0,0.0,Intermediate
"Cyberpunk2077, DLC",2.0,0.0,0.0,Intermediate
"Cyberpunk2077, Projekt Red",0.0,1.0,0.0,Negative
Cyborg,1.0,0.0,0.0,Intermediate
C² Ventures,1.0,0.0,0.0,Intermediate
D&amp;D,3.0,0.0,4.0,Positive
"D&amp;D, Dungeon Masters",1.0,0.0,0.0,Intermediate
"D&amp;D, Monsters of the Multiverse",2.0,0.0,0.0,Intermediate
"D&amp;D, Multiverse",1.0,0.0,0.0,Intermediate
"D&amp;D, RPG Solasta: Crown Of The Magister",1.0,0.0,0.0,Intermediate
"D&amp;D, Spelljammer",1.0,0.0,0.0,Intermediate
"D&amp;D, Xbox Game Pass",0.0,0.0,1.0,Positive
DAGERSystem,0.0,0.0,1.0,Positive
DARQ,0.0,0.0,1.0,Positive
DC Comics,1.0,1.0,0.0,Intermediate
"DC Comics, Flashpoint",0.0,0.0,1.0,Positive
"DC Comics, Future State, Infinite Frontier, the X-Men's",0.0,0.0,1.0,Positive
"DC Comics, Shazam, Journey, https://t.co/fg580aKD6O",1.0,0.0,0.0,Intermediate
"DC Comics, the Justice League",0.0,1.0,0.0,Negative
DC FanDome,3.0,0.0,0.0,Intermediate
DC FanDome 2021,0.0,2.0,0.0,Negative
DC FanDome https://t.co/55Cpb1U52,1.0,0.0,0.0,Intermediate
"DC FanDome, HBO",0.0,0.0,1.0,Positive
"DC Heroes &, RPG",0.0,3.0,0.0,Negative
DDOS,0.0,1.0,0.0,Negative
DEI,0.0,0.0,1.0,Positive
"DF DIrect Weekly, Apple Silicon and Cyberpunk 2077",0.0,0.0,1.0,Positive
DF Direct Weekly,0.0,2.0,1.0,Negative
"DF Direct Weekly ', Sony, Xbox Game Pass",0.0,0.0,1.0,Positive
"DF Direct Weekly, CES, Sony",1.0,0.0,0.0,Intermediate
"DF Direct Weekly, Crysis 4,, Call of Duty's",1.0,0.0,0.0,Intermediate
"DF Direct Weekly, Digital Foundry, Microsoft/Activision, Switch, Horizon Forbidden West",0.0,1.0,0.0,Negative
"DF Direct Weekly, GTA Definitive, CES, Halo Infinite",1.0,0.0,0.0,Intermediate
"DF Direct Weekly, Halo Infinite's, Steam Deck",0.0,1.0,0.0,Negative
"DF Direct Weekly, Nintendo, Xbox's, Nvidia",0.0,0.0,1.0,Positive
"DF Direct Weekly, Quake Remastered's",0.0,0.0,1.0,Positive
"DF Directly Weekly ', Halo Infinite's, GTA Definitive Editions, Intel",1.0,0.0,0.0,Intermediate
"DF Retro, the Sumo Digital Academy, Gremlin Graphics",1.0,0.0,0.0,Intermediate
DFC Intelligence:,0.0,0.0,1.0,Positive
DFEH,3.0,11.0,0.0,Negative
"DFEH, Activision",1.0,0.0,0.0,Intermediate
"DFEH, DFEH, https://t.co/ixla2ihQ0q",0.0,1.0,0.0,Negative
"DFEH, EEOC",3.0,2.0,0.0,Intermediate
"DFEH, RiotGames",0.0,1.0,0.0,Negative
DIY,3.0,0.0,2.0,Intermediate
"DKC, the Crystal Coconut",1.0,0.0,0.0,Intermediate
DLC,18.0,6.0,11.0,Intermediate
"DLC https://t.co/tA0rCMtKk6, @jeffgrubb",1.0,0.0,0.0,Intermediate
"DLC, Far Cry",0.0,1.0,0.0,Negative
"DLC, IO Interactive",1.0,0.0,0.0,Intermediate
"DLC, Nintendo, https://t.co/TrTx8sEveb",0.0,0.0,1.0,Positive
"DLC, PlayStation, Xbox",0.0,1.0,0.0,Negative
"DLC, Switch",0.0,0.0,1.0,Positive
"DLC, Xbox, PlayStation",0.0,1.0,0.0,Negative
"DLC, https://t.co/dd5CQlQtc4",0.0,1.0,0.0,Negative
DLSS,1.0,1.0,3.0,Positive
"DLSS, AMD FSR",0.0,0.0,2.0,Positive
"DLSS, FSR",0.0,0.0,1.0,Positive
DMCA,0.0,1.0,0.0,Negative
"DMCA, MasterChef, xQc",0.0,0.0,1.0,Positive
"DMCA, https://t.co/a4anGwk6sL",0.0,0.0,1.0,Positive
DNABLOCK,1.0,0.0,0.0,Intermediate
DNABlock,2.0,0.0,0.0,Intermediate
"DNABlock, SoftBank",1.0,0.0,0.0,Intermediate
DND,1.0,0.0,0.0,Intermediate
DNS,1.0,0.0,0.0,Intermediate
"DRM, Galaxy",0.0,1.0,0.0,Negative
DSR - https://t.co/Iv7dKwOgxw,0.0,0.0,1.0,Positive
"DTS:X, Xbox One",1.0,0.0,0.0,Intermediate
Dafoe,0.0,0.0,1.0,Positive
Dahna,1.0,0.0,0.0,Intermediate
Daigo,0.0,0.0,1.0,Positive
Dallas Buyers Club,0.0,1.0,0.0,Negative
DanTheVP,0.0,0.0,1.0,Positive
"Danai Gurira's, HBO, Watchmen",0.0,1.0,0.0,Negative
"Danganronpa Anniversary Edition, Xbox",0.0,0.0,1.0,Positive
Danganronpa https://t.co/acRKy0UX2X https://t.co/oWB3k6isHJ,1.0,0.0,0.0,Intermediate
"Danganronpa, Rainbow Six Extraction",1.0,0.0,0.0,Intermediate
Dapper Labs,0.0,0.0,1.0,Positive
"Dapper Labs, LaLiga, NFT",2.0,0.0,0.0,Intermediate
"Dapper Labs, NFL, NFL Players Association",2.0,0.0,0.0,Intermediate
Darius Cozmic Collection Arcade Edition,1.0,0.0,0.0,Intermediate
Dark,0.0,1.0,0.0,Negative
Dark Eye,1.0,1.0,0.0,Intermediate
"Dark Horse Comics, Embracer, https://t.co/AYCVjJaznj",1.0,0.0,0.0,Intermediate
"Dark Horse Comics, the Embracer Group",0.0,1.0,0.0,Negative
"Dark Horse Direct, Netflix, https://t.co/6njaa3oqAt",0.0,0.0,1.0,Positive
Dark Nights:,1.0,0.0,0.0,Intermediate
Dark Picture Anthology,0.0,0.0,1.0,Positive
Dark Pictures,2.0,1.0,0.0,Intermediate
Dark Pictures Anthology,0.0,1.0,2.0,Positive
"Dark Pictures, https://t.co/0YLywfh2w6",1.0,0.0,0.0,Intermediate
Dark Sorcerer,0.0,0.0,2.0,Positive
Dark Souls,0.0,1.0,0.0,Negative
"Dark Souls and Bloodborne, https://t.co/aN31rbRaMq",0.0,0.0,1.0,Positive
Dark Souls tabletop RPG,2.0,0.0,0.0,Intermediate
Dark Souls!,0.0,0.0,1.0,Positive
"Dark Souls, Devil May Cry, Final Fantasy https://t.co/tWoJ6Nt5tS",0.0,1.0,0.0,Negative
"Dark, RPG",1.0,0.0,0.0,Intermediate
"DarkDeity, Switch",1.0,0.0,0.0,Intermediate
DarkSouls,0.0,1.0,0.0,Negative
DarkSouls 2,0.0,0.0,1.0,Positive
DarkSouls PvP,1.0,0.0,0.0,Intermediate
Darkest Dungeon 2,0.0,2.0,0.0,Negative
Darkness,0.0,1.0,0.0,Negative
"Darkworks, Microids",1.0,0.0,0.0,Intermediate
"Data East's, Eurogamer",0.0,0.0,1.0,Positive
Days Gone,5.0,5.0,0.0,Intermediate
"Days Gone, Sony",0.0,0.0,1.0,Positive
De-Exit,1.0,0.0,0.0,Intermediate
Deacon,0.0,0.0,1.0,Positive
Dead Cells,0.0,2.0,0.0,Negative
"Dead Cells, Smash Bros.",0.0,1.0,0.0,Negative
DeadCells,2.0,2.0,0.0,Intermediate
"DeadCells, Aspect",1.0,0.0,0.0,Intermediate
"DeadCells, DLC",1.0,0.0,0.0,Intermediate
DeadSpace,2.0,0.0,0.0,Intermediate
DeadbyDaylgiht,0.0,1.0,0.0,Negative
"DeadbyDaylight, https://t.co/8Z7PYmvpnO",0.0,0.0,1.0,Positive
DeathVerse,0.0,1.0,0.0,Negative
Deathloop,7.0,4.0,13.0,Positive
"Deathloop
https://t.co/X7EGRwGeLA",1.0,0.0,0.0,Intermediate
Deathloop Guide,0.0,0.0,1.0,Positive
Deathloop and Cyberpunk 2077,0.0,0.0,1.0,Positive
"Deathloop and Ratchet &, Clank",0.0,0.0,1.0,Positive
"Deathloop, Colt",0.0,0.0,1.0,Positive
"Deathloop, Easter",1.0,0.0,0.0,Intermediate
"Deathloop, Ratchet &, Clank",0.0,0.0,2.0,Positive
"Deathloop, Ratchet &, Clank, Control - and",1.0,0.0,0.0,Intermediate
"Deathloop, Resident Evil, Returnal",0.0,1.0,0.0,Negative
"Deathloop, Townscaper, Deep Rock Galactic",1.0,0.0,0.0,Intermediate
"Deathloop, Visionaries",2.0,0.0,0.0,Intermediate
"Deathloop, Visionaries, https://t.co/kneUA8k13v",1.0,0.0,0.0,Intermediate
"Deathloop, https://t.co/JbnQ18k42n https://t.co/9Sijis17Kv",0.0,0.0,1.0,Positive
"Deathloop, https://t.co/R1kBbRgZnO",0.0,0.0,1.0,Positive
"Deathloop, https://t.co/rrff4V5AZE",1.0,0.0,0.0,Intermediate
"Decay, Possibility Space",0.0,1.0,0.0,Negative
Deep Learning Dynamic Super Resolution,0.0,0.0,1.0,Positive
Deep Rock Galactic,0.0,0.0,1.0,Positive
Defiance,0.0,1.0,0.0,Negative
Definitive Edition,6.0,0.0,3.0,Intermediate
"Definitive Edition, https://t.co/LMzQweDLww",0.0,0.0,1.0,Positive
"Definitive Editions, Grand Theft Auto 3",0.0,0.0,1.0,Positive
"Definitive Editions, PlayStation Now",0.0,0.0,2.0,Positive
Dell,2.0,0.0,0.0,Intermediate
Dell 240Hz,0.0,0.0,1.0,Positive
"Dell Alienware, Amazon",0.0,1.0,0.0,Negative
Dell UK,0.0,0.0,1.0,Positive
Dell's,1.0,0.0,0.0,Intermediate
"Dell, Alienware, XPS, Intel",1.0,0.0,0.0,Intermediate
"Dell, G-Sync Ultimate",0.0,1.0,0.0,Negative
"Dell, G15",0.0,0.0,1.0,Positive
"Dell, S2721DGF",1.0,0.0,0.0,Intermediate
"Dell, XPS, https://t.co/I9Cn6HGNbI",0.0,0.0,1.0,Positive
Deloitte,1.0,0.0,2.0,Positive
"Deloitte, AI",0.0,0.0,1.0,Positive
Demi Adejuyigbe,0.0,0.0,1.0,Positive
Demi Adejuyigbe’s,0.0,0.0,1.0,Positive
Demon's Souls,0.0,0.0,1.0,Positive
"Demon's Souls, FromSoftware",0.0,0.0,1.0,Positive
"Demon's Souls, Miles Morales",0.0,0.0,1.0,Positive
Demon’s Souls,1.0,0.0,0.0,Intermediate
Demon’s Souls PS5,1.0,0.0,0.0,Intermediate
Denuvo DRM,0.0,1.0,0.0,Negative
"Denuvo, @skrattybones",1.0,0.0,0.0,Intermediate
"Denuvo, DRM",1.0,0.0,0.0,Intermediate
Der Anfang Zombies,1.0,0.0,0.0,Intermediate
Despot’s Game,0.0,1.0,0.0,Negative
Destin Daniel Cretton,1.0,0.0,3.0,Positive
Destiny,0.0,2.0,0.0,Negative
Destiny 2,0.0,3.0,0.0,Negative
"Destiny 2, Sony",1.0,0.0,0.0,Intermediate
Destiny 2’s,1.0,0.0,0.0,Intermediate
Destiny 2’s Trials of Osiris,2.0,0.0,0.0,Intermediate
"Destiny 2’s, Bungie",0.0,1.0,0.0,Negative
"Destiny 2’s, https://t.co/qiVHq4KREW",1.0,0.0,0.0,Intermediate
"Destiny, Guardian",1.0,0.0,0.0,Intermediate
"Destiny, Microsoft",0.0,1.0,0.0,Negative
Destiny’s,1.0,0.0,0.0,Intermediate
Destruction AllStars,0.0,3.0,1.0,Negative
"Deutsche Telekom, MagentaGaming",1.0,0.0,0.0,Intermediate
"Developer Bossa, Unity, Sponsored",5.0,0.0,0.0,Intermediate
"Developer GSC Game World, Stalker 2, https://t.co/uwezTki42X",1.0,0.0,0.0,Intermediate
"Developer Grasshopper Manufacture, NetEase",1.0,0.0,0.0,Intermediate
"Developer of Going Under Aggro Crab, Worms, https://t.co/ttCa0RoBie",0.0,1.0,0.0,Negative
Devil Daggers,0.0,1.0,0.0,Negative
"Devil May Cry 5 Steam Deck, https://t.co/9layYRayXX",0.0,1.0,0.0,Negative
DevolverDigital,1.0,1.0,1.0,Intermediate
Dexter’s Laboratory,0.0,0.0,1.0,Positive
Diablo,0.0,0.0,1.0,Positive
Diablo 2,1.0,0.0,0.0,Intermediate
Diablo 2 Resurrected,3.0,0.0,0.0,Intermediate
Diablo 2 Resurrected's,0.0,1.0,0.0,Negative
Diablo 2's,0.0,0.0,1.0,Positive
Diablo 2:,4.0,0.0,3.0,Intermediate
Diablo 2: Resurrected,1.0,0.0,1.0,Intermediate
Diablo 2: Resurrected's,0.0,1.0,0.0,Negative
Diablo 4,5.0,2.0,3.0,Intermediate
Diablo 4 and Overwatch 2,2.0,2.0,0.0,Intermediate
Diablo 4 https://t.co/fh2ERp0B0c,1.0,0.0,0.0,Intermediate
"Diablo 4, Activision",0.0,1.0,0.0,Negative
"Diablo 4, Sorcerer",0.0,1.0,0.0,Negative
Diablo II,1.0,0.0,0.0,Intermediate
Diablo II Resurrected Dev:,1.0,0.0,0.0,Intermediate
"Diablo II Resurrected Dev:, https://t.co/HZkjH0jodF",1.0,0.0,0.0,Intermediate
Diablo II:,0.0,1.0,0.0,Negative
"Diablo II: Resurrected, Diablo II",2.0,0.0,0.0,Intermediate
"Diablo II: Resurrected, TCP",1.0,0.0,0.0,Intermediate
Diablo IV,3.0,0.0,1.0,Intermediate
Diablo IV',1.0,0.0,0.0,Intermediate
Diablo Immortal',1.0,0.0,0.0,Intermediate
"Diablo, Call of Duty",0.0,0.0,1.0,Positive
"Diablo-like, LostArk",2.0,0.0,0.0,Intermediate
DiabloImmortal,1.0,0.0,1.0,Intermediate
Diamond Select's TMNT,0.0,0.0,1.0,Positive
Diamond/Shining Pearl,0.0,0.0,1.0,Positive
Diana #TheGameAwards https://t.co/gNfL09SIi7 https://t.co/rCadPz4wKD,1.0,0.0,0.0,Intermediate
DiceyDungeons,1.0,0.0,0.0,Intermediate
Diesel,0.0,1.0,0.0,Negative
"DigiPen Institute of Technology, The Princeton Review, Learn",1.0,0.0,0.0,Intermediate
Digital,6.0,1.0,1.0,Intermediate
Digital Bros,0.0,1.0,0.0,Negative
"Digital Bros, RPG, Nesting Games",4.0,0.0,0.0,Intermediate
Digital Edition,1.0,0.0,0.0,Intermediate
"Digital Edition, Sony",1.0,0.0,0.0,Intermediate
Digital Extreme's,0.0,1.0,0.0,Negative
Digital Extremes on Warframe's,0.0,1.0,0.0,Negative
Digital Foundry,0.0,4.0,3.0,Negative
"Digital Foundry Direct Weekly, Xbox 20th Anniversary Museum",0.0,0.0,1.0,Positive
Digital Foundry's,1.0,1.0,0.0,Intermediate
"Digital Foundry's, YouTube",0.0,2.0,0.0,Negative
"Digital Foundry, Definitive Edition",0.0,1.0,0.0,Negative
"Digital Foundry, Microsoft",1.0,0.0,0.0,Intermediate
"Digital Foundry, VR",1.0,0.0,0.0,Intermediate
"Digital Foundry, https://t.co/nY7dw2kkiU",2.0,0.0,0.0,Intermediate
"Digital Foundry, the Call of Duty",1.0,0.0,0.0,Intermediate
"Digital Foundry, the Eve Spectrum",1.0,0.0,0.0,Intermediate
"Digital Foundry, the GTA Definitive Edition, Grand Theft Auto 3",0.0,1.0,0.0,Negative
Digital Legends,3.0,0.0,0.0,Intermediate
"Digital Legends, Call of Duty",1.0,0.0,0.0,Intermediate
"Digital Legends, the Call of Duty",1.0,0.0,0.0,Intermediate
Digital Matters Publishing,0.0,0.0,1.0,Positive
"Digital Matters Publishing, AAA",1.0,0.0,0.0,Intermediate
"Digital Matters, AAA",3.0,0.0,0.0,Intermediate
"Digital Medicine, Become Publicly Traded Through Combination with, Social Capital Suvretta Holdings Corp.",1.0,0.0,0.0,Intermediate
Digital Schoolhouse,1.0,0.0,0.0,Intermediate
Digital Tabletop Fest,1.0,0.0,0.0,Intermediate
"Digital, Eclipse",1.0,0.0,0.0,Intermediate
"Digital, London Stock Exchange",0.0,0.0,1.0,Positive
"Digital, NFT",0.0,1.0,0.0,Negative
"Digital, PlayStation, Xbox Store",0.0,1.0,0.0,Negative
"Digital, Q1 FY2022",0.0,1.0,0.0,Negative
"Digital, RPG, WeirdWest",0.0,1.0,0.0,Negative
"Digital, https://t.co/l2ha5iqutm",1.0,0.0,0.0,Intermediate
DigitalOwl,1.0,0.0,0.0,Intermediate
"Dimension Tripper, NEP",0.0,0.0,1.0,Positive
DingaBakaba,1.0,0.0,0.0,Intermediate
Dinosaur Polo Club's,0.0,0.0,1.0,Positive
Dirt,0.0,1.0,0.0,Negative
Disability Pride Month,0.0,0.0,1.0,Positive
Disco Elysium’s Aerostatic Pilot Jacket:,2.0,0.0,0.0,Intermediate
"DiscoElysium, Xbox",1.0,1.0,0.0,Intermediate
Discord,4.0,13.0,2.0,Negative
"Discord, AI",0.0,1.0,0.0,Negative
"Discord, API",0.0,1.0,0.0,Negative
"Discord, API #",1.0,0.0,0.0,Intermediate
"Discord, EA",0.0,0.0,1.0,Positive
"Discord, NFT",0.0,4.0,0.0,Negative
"Discord, NSFW, https://t.co/NOnn5UFjyq",0.0,1.0,0.0,Negative
"Discord, PlayStation",0.0,2.0,0.0,Negative
"Discord, PlayStation Network",0.0,3.0,0.0,Negative
"Discord, PlayStation, PSN, Discord",0.0,1.0,0.0,Negative
"Discord, Xbox, COO",0.0,1.0,0.0,Negative
"Discord, YouTube",0.0,1.0,0.0,Negative
"Discord, https://t.co/87qlHHtuJ5",0.0,1.0,0.0,Negative
"Discord, https://t.co/WCiQYxoA5p https://t.co/NvOERS2tSY",1.0,0.0,0.0,Intermediate
"Discord, https://t.co/uAPtGe73jv",0.0,1.0,0.0,Negative
Discovery,0.0,0.0,1.0,Positive
Discovery Tour,1.0,0.0,0.0,Intermediate
"Discovery, DLC",0.0,0.0,1.0,Positive
Disgaea RPG,1.0,0.0,0.0,Intermediate
Disguised Toast,0.0,2.0,0.0,Negative
Disney,6.0,4.0,5.0,Intermediate
"Disney Classic Games Collection, https://t.co/MwzFAVABO7",1.0,0.0,0.0,Intermediate
Disney Plu — Squirrel,0.0,0.0,1.0,Positive
Disney Plus,7.0,1.0,2.0,Intermediate
"Disney Plus, MCU",0.0,1.0,0.0,Negative
"Disney Plus, Pixar",0.0,0.0,1.0,Positive
"Disney Plus, https://t.co/5H3avApnXd",1.0,0.0,0.0,Intermediate
"Disney Plus, https://t.co/MScKnkpdEA",1.0,0.0,0.0,Intermediate
Disney Studios,1.0,0.0,0.0,Intermediate
Disney and Tencent,2.0,0.0,0.0,Intermediate
"Disney+'s, https://t.co/pfaLDAgXME",1.0,0.0,0.0,Intermediate
"Disney, Delta",2.0,0.0,0.0,Intermediate
"Disney, Disney",0.0,0.0,1.0,Positive
"Disney, Disney Plus",0.0,0.0,1.0,Positive
"Disney, Marvel",0.0,0.0,1.0,Positive
"Disney, SNES, Aladdin, The Jungle Book",3.0,0.0,0.0,Intermediate
"Disney, Sabine Wren https://t.co/nSal2gD3RT",1.0,0.0,0.0,Intermediate
"Disney, Santa Clause",1.0,0.0,0.0,Intermediate
"Disney, Twisted Wonderland",1.0,0.0,0.0,Intermediate
"Disney, Virtual World Simulator",0.0,0.0,2.0,Positive
"Disney, Zorro",0.0,0.0,1.0,Positive
"Disney/Fox, AT&amp;T/Warner, https://t.co/2lSzNaABcd",1.0,0.0,0.0,Intermediate
"Disney/Marvel, Sony, Spider-Man 4",0.0,1.0,0.0,Negative
Disney’s Encanto,1.0,0.0,0.0,Intermediate
Disney’s Encanto https://t.co/iwjDgFLVkp https://t.co/7RcWONhwYW,0.0,1.0,0.0,Negative
"Disney’s Encanto, Disney",0.0,0.0,1.0,Positive
"Disney’s, https://t.co/8TXPEr5cDG https://t.co/XNoiK5ErKG",1.0,0.0,0.0,Intermediate
Division,1.0,0.0,0.0,Intermediate
"Dj2 Entertainment, Raw Fury's, Sable",0.0,0.0,1.0,Positive
"Dj2 Entertainment, Sable",0.0,0.0,1.0,Positive
"Doc Ock, Lizard, Sandman",1.0,0.0,0.0,Intermediate
"Doc Ock, Spider-Man 2, Quick Time Events https://t.co/vZyukPyfy7",1.0,0.0,0.0,Intermediate
"Dodge Roll, Firefly Studios",1.0,0.0,0.0,Intermediate
Dodgeball Academia - https://t.co/lAbWiu5yjE,0.0,0.0,1.0,Positive
"DokeV, MMO, Pokémon, Splatoon https://t.co/NYzDTokyIG",0.0,0.0,1.0,Positive
